genus,species
Acinetobacter,baumannii
Anaplasma,phagocytophilum
Angiostrongylus,cantonensis
Ascaris,lumbricoides
Babesia,microti
Bacillus,cereus
Bacillus,anthracis
Bacteroides,fragilis
Bartonella,henselae
Bartonella,quintana
Bartonella,bacilliformis
Borrelia,burgdorferi sensu stricto
Borrelia,bissettiae
Borrelia,mayonii
Borrelia,burgdorferi
Brucella,abortus
Burkholderia,pseudomallei
Burkholderia,cepacia
Campylobacter,fetus
Campylobacter,coli
Campylobacter,jejuni
Campylobacter,lari
Chlamydia,trachomatis
Citrobacter,koseri
Citrobacter,freundii
Clostridioides,difficile
Clostridium,histolyticum
Clostridium,sordellii
Clostridium,difficile
Clostridium,perfringens
Clostridium,tetani
Clostridium,botulinum
Corynebacterium,diphtheriae
Coxiella,burnetii
Cronobacter,sakazakii
Cryptosporidium,parvum
Cryptosporidium,hominis
Cryptosporidium,canis
Cryptosporidium,felis
Cryptosporidium,muris
Cryptosporidium,meleagridis
Cyclospora,cayetanensis
Cytoisospora,belli
Diphyllobothrium,latum
Ehrlichia,chaffeensis
Ehrlichia,ewingii
Ehrlichia,muris eauclairensis
Eimeria,alabamensis
Eimeria,bovis
Eimeria,contorta
Eimeria,separata
Eimeria,veriformis
Eimeria,zuernii
Eimeria,marconii
Eimeria,papillata
Eimeria,pileata
Eimeria,procyonis
Eimeria,falciformis
Eimeria,ferrisi
Eimeria,gallatii
Eimeria,krijgsmanni
Entamoeba,histolytica
Enterobacter,huaxiensis
Enterobacter,chuandaensis
Enterobacter,cloacae
Enterococcus,casseliflavus
Enterococcus,gallinarum
Enterococcus,raffinosus
Francisella,tularensis
Giardia,duodenalis
Giardia,lamblia
Giardia,intestinalis
Hathewaya,histolytica
Helicobacter,pylori
Isospora,belli
Klebsiella,aerogenes
Klebsiella,oxytoca
Leptospira,alstonii
Leptospira,interrogans
Listeria,monocytogenes
Morganella,morganii
Mycobacterium,tuberculosis
Mycobacterium,leprae
Mycoplasma,pneumoniae
Neospora,caninum
Neospora,hughesi
Paeniclostridium,sordellii
Plesiomonas,shigelloides
Prevotella,intermedia
Prevotella,copri
Prevotella,nigrescens
Proteus,vulgaris
Proteus,mirabilis
Proteus,penneri
Providencia,stuartii
Pseudomonas,aeruginosa
Pseudoterranova,decipiens
Rickettsia,typhi
Rickettsia,rickettsii
Salmonella,enterica
Serratia,marcescens
Serratia,liquefaciens
Shigella,dysenteriae
Shigella,flexneri
Shigella,boydii
Shigella,sonnei
Spirillum,minus
Staphylococcus,aureus
Staphylococcus,epidermidis
Streptobacillus,moniliformis
Streptococcus,pyogenes
Streptococcus,agalactiae
Streptococcus,dysgalactiae
Streptococcus,gallolyticus
Streptococcus,anginosus
Streptococcus,sanguinis
Streptococcus,mitis
Streptococcus,mutans
Streptococcus,pneumoniae
Taenia,solium
Toxoplasma,gondii
Trichinella,spiralis
Vibrio,parahaemolyticus
Vibrio,vulnificus
Vibrio,cholerae
Yersinia,enterocolitica
Yersinia,pestis
Yersinia,pseudotuberculosis
