sample,date_barcode
F-075,050222_1
F-077,050222_2
F-078,050222_3
F-079,050222_4
F-080,050222_5
F-084,050222_6
F-085,050222_7
F-086,050222_8
F-087,050222_12
F-088,050222_13
F-089,050222_14
F-090,050222_15
F-091,050222_16
F-092,050222_17
F-093,050222_18
F-094,050222_19
F-095,050222_20
F-096,050222_21
F-097,050222_22
F-175,050222_23
F-178,050222_24
F-100,042822_2
F-101,042822_3
F-102,042822_4
F-103,042822_5
F-105,042822_6
F-106,042822_7
F-107,042822_8
F-108,042822_9
F-109,042822_10
F-110,042822_11
F-112,042822_12
F-113,042822_13
F-114,042822_14
F-115,042822_15
F-116,042822_16
F-117,042822_17
F-119,042822_18
F-120,042822_19
F-122,042822_20
F-124,042822_21
F-128,042822_22
F-130,042822_23
F-132,042822_24
F-046,042622_1
F-047,042622_2
F-048,042622_3
F-049,042622_4
F-050,042622_5
F-051,042622_6
F-052,042622_7
F-053,042622_8
F-054,042622_9
F-055,042622_10
F-056,042622_11
F-057,042622_12
F-058,042622_13
F-059,042622_14
F-060,042622_15
F-061,042622_16
F-062,042622_17
F-063,042622_18
F-074,042622_19
F-076,042622_20
F-081,042622_21
F-083,042622_22
F-121,032422_1
F-123,032422_2
F-125,032422_3
F-126,032422_4
F-127,032422_5
F-129,032422_6
F-131,032422_7
F-134,032422_8
F-142,032422_9
F-148,032422_10
F-154,032422_11
F-156,032422_12
F-158,032422_13
F-159,032422_14
F-160,032422_15
F-161,032422_16
F-162,032422_17
F-164,032422_18
F-166,032422_19
F-169,032422_20
F-170,032422_21
F-172,032422_22
F-173,032422_23
F-174,032422_24
F-012,031722_3
F-013,031722_4
F-016,031722_5
F-017,031722_6
F-018,031722_7
F-029,031722_8
F-030,031722_9
F-031,031722_10
F-032,031722_11
F-033,031722_12
F-034,031722_13
F-035,031722_14
F-036,031722_15
F-037,031722_16
F-038,031722_17
F-039,031722_18
F-040,031722_19
F-041,031722_20
F-042,031722_21
F-043,031722_22
F-044,031722_23
F-045,031722_24
F-118,031022_1
F-135,031022_2
F-136,031022_3
F-137,031022_4
F-138,031022_5
F-139,031022_6
F-140,031022_7
F-141,031022_8
F-143,031022_9
F-144,031022_10
F-145,031022_11
F-146,031022_12
F-147,031022_13
F-149,031022_14
F-150,031022_15
F-151,031022_16
F-152,031022_17
F-153,031022_18
F-155,031022_19
F-157,031022_20
F-165,031022_21
F-167,031022_22
F-168,031022_23
F-171,031022_24
F-002,030722_1
F-004,030722_2
F-005,030722_3
F-006,030722_4
F-010,030722_5
F-011,030722_6
F-019,030722_7
F-020,030722_8
F-021,030722_9
F-022,030722_10
F-023,030722_11
F-024,030722_12
F-025,030722_13
F-026,030722_14
F-027,030722_15
F-028,030722_16
F-064,030722_17
F-065,030722_18
F-066,030722_19
F-067,030722_20
F-068,030722_21
F-069,030722_22
F-070,030722_23
F-071,030722_24
